schema,DG_ted,JE_ted,JSF_ted,DG_type_of_errors,JE_type_of_errors,JSF_type_of_errors
o16041,2,161,6,[],[],['required']
o16044,1,1,1,['items'],['items'],['items']
o16046,2,14,83,[],[],[]
o16047,0,91,60,[],[],['required']
o16067,2,,39,[],[],[]
o16103,0,0,,[],[],[]
o16363,0,,1,[],[],[]
o16365,1,6,1,[],[],[]
o16373,4,,,[],[],[]
o16379,2,2,11,[],[],[]
o16739,6,6,6,[],[],[]
o16742,0,2,50,[],[],[]
o16744,1,4,1,[],[],[]
o16749,0,6,94,[],[],[]
o16791,0,11,125,[],[],[]
o17072,1,,23,[],[],[]
o17121,12,258,42,[],[],['required']
o17122,0,2,38,[],[],[]
o17123,0,2,1,[],[],[]
o17125,0,127,4,[],[],[]
o17127,1,5,212,[],[],[]
o17131,0,0,4,[],[],[]
o17132,0,0,14,[],[],[]
o17133,0,0,109,[],[],[]
o17139,3,,5,[],[],[]
o17391,1,,171,[],[],[]
o17393,0,10,22,[],[],[]
o17394,13,28,21,[],[],[]
o17401,5,7,5,[],[],[]
o17404,2,26,15,[],[],[]
o17408,5,,5,[],[],[]
o17417,5,,18,[],[],[]
o17424,2,4,2,[],[],[]
o17436,2,27,29,[],[],[]
o17437,2,2,2,[],[],[]
o17438,2,2,2,[],[],[]
o17460,1,,1,[],[],[]
o17462,0,0,134,[],[],[]
o17482,0,0,10,[],[],[]
o17520,,982,93,[],[],[]
o17539,0,2122,73,[],[],[]
o17546,1,98,1,[],[],[]
o17547,1,,7,[],[],[]
o17565,6,,6,['exclusiveMinimum'],[],[]
o17568,1,,2,[],[],[]
o17591,0,90,220,[],[],[]
o17599,1,16,3,[],[],[]
o17600,0,30,20,[],[],[]
o17602,14,16,16,[],[],[]
o17608,0,9,2,[],[],[]
o17611,3,6,3,[],[],[]
o17614,0,13,2,[],[],[]
o17616,3,191,2,[],[],[]
o17628,0,16,5,[],[],[]
o17631,,6,2,[],[],[]
o17633,,65,1,[],[],[]
o17635,3,405,3,[],[],[]
o17637,1,,3,[],[],[]
o17641,0,18,24,[],[],[]
o17648,0,14,24,[],[],[]
o17654,2,,2,[],[],[]
o17657,1,,1,[],[],[]
o17661,2,,2,[],[],[]
o17663,1,12,50,[],[],[]
o17665,3,14,3,[],[],[]
o17668,0,10,12,[],[],[]
o17674,2,4,3,[],[],[]
o17675,1,9,1,[],[],[]
o17676,2,,2,[],[],[]
o17678,0,,8,[],[],[]
o17687,4,14,12,[],[],[]
o17688,6,64,10,[],[],[]
o17692,0,246,0,[],[],[]
o17700,5,,,[],[],[]
o17940,7,,13,[],[],[]
o17941,5,14,27,[],[],[]
o17944,0,0,138,[],[],[]
o17954,12,,312,[],[],[]
o17984,0,0,10,[],[],[]
o17985,0,2,4,[],[],[]
o17990,0,0,121,[],[],[]
o18021,0,2,,[],[],[]
o18039,1,55,1,[],[],[]
o18046,0,0,277,[],[],[]
o18353,1,263,7,[],[],[]
o18633,0,27,33,[],[],[]
o18637,0,119,,[],[],[]
o18644,1,4,65,[],[],[]
o18670,5,12,13,[],[],[]
o18948,0,,300,[],[],[]
o18949,0,,76,[],[],[]
o19003,4,4,4,[],[],[]
o19022,4,,14,[],[],[]
o19031,2,,4,[],[],[]
o19057,2,58,1,[],[],[]
o19062,4,,33,[],[],[]
o19065,12,,34,[],[],[]
o19066,2,177,2,[],[],[]
o19067,3,,3,[],[],[]
o19068,10,,41,[],[],[]
o19069,0,,53,[],[],[]
o19070,3,53,8,[],['required'],['required']
o19071,2,,32,[],[],[]
o19087,0,0,4,[],[],[]
o19103,3,22,23,[],[],[]
o19113,2,,367,[],[],[]
o19114,1,83,42,[],[],[]
o19154,3,,68,[],[],['required']
o19155,0,0,18,[],[],[]
o19185,5,23,16,[],[],[]
o19225,0,0,245,[],[],[]
o19226,0,63,48,[],[],[]
o19336,0,16,82,[],[],[]
o19337,6,8,12,[],[],['required']
o19338,0,60,138,[],[],[]
o19339,0,14,38,[],[],[]
o19340,0,4,42,[],[],[]
o19342,0,37,240,[],[],[]
o19343,1,,,[],[],[]
o19353,0,7,351,[],[],[]
o19356,0,62,19,[],[],[]
o19357,2,7,5,[],[],[]
o19359,2,,9,[],[],[]
o19360,0,2067,240,[],[],[]
o19361,8,708,40,[],[],[]
o19363,0,16,0,[],[],[]
o19364,1,7,23,[],[],[]
o19365,0,0,36,[],[],[]
o19978,0,6,4,[],[],[]
o19980,0,11,10,[],[],[]
o20,0,,1062,[],[],[]
o20254,2,,6,[],[],[]
o20258,1,1,175,[],[],[]
o20271,0,18,6,[],[],[]
o20272,3,58,168,[],[],[]
o20375,8,37,7,[],[],[]
o20376,1,10,1,[],[],[]
o20389,0,2,10,[],[],[]
o20390,0,0,122,[],[],[]
o20452,0,,294,[],[],[]
o20453,4,,1098,[],[],[]
o20458,0,0,0,[],[],[]
o20460,0,0,8,[],[],[]
o20461,0,0,4,[],[],[]
o20462,0,0,4,[],[],[]
o20463,0,2,70,[],[],['type']
o20464,2,2,12,[],[],[]
o20465,4,56,10,[],[],[]
o20468,0,0,4,[],[],[]
o20469,0,0,0,[],[],[]
o20471,0,0,6,[],[],[]
o20473,2,,4,[],[],[]
o20474,2,6,8,[],[],[]
o20476,3,,4,[],[],[]
o20477,1,13,33,[],[],[]
o20479,3,,3,[],[],[]
o20480,1,,1,[],[],[]
o20484,0,3,10,[],[],[]
o20486,1,,7,[],[],[]
