schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors,correct_instance_ast_size,DG_ast_size,JE_ast_size,JSF_ast_size
o79705,1,1,8,0,0,0,3,3,3,15
o79709,3,29,3,0,0,0,7,7,47,7
o79711,0,10,9,0,0,0,3,3,19,15
o79712,1,,2,0,,0,3,3,,5
o79714,1,,3,0,,0,3,3,,7
o79715,1,,1,0,,0,3,3,,3
o79717,1,13,7,0,0,0,3,3,25,13
o79722,4,4,4,0,0,0,9,9,9,9
o79727,1,3,32,0,0,0,3,3,5,49
o79743,7,,,0,,,27,27,,
o79782,0,,43,0,,0,3,3,,51
o79850,17,,33,0,,0,57,57,,71
o79851,9,,18,0,,0,27,27,,35
o79893,0,0,264,0,0,0,1,1,1,265
o80161,5,,67,0,,0,17,17,,87
o80208,1,6,7753,0,1,515,3,3,9,8507
o80234,0,4,251,0,0,0,1,1,5,287
o80235,,1563,1583,,72,13,593,,2139,1951
o80248,1,3,251,0,0,0,3,3,5,283
o80249,1,3,184,0,0,0,3,3,5,215
o80251,1,9,,0,3,,3,3,11,
o80277,0,476,15,0,0,0,1,1,621,17
o80279,0,27,6,0,0,0,1,1,39,7
o80280,0,14,49,0,0,0,1,1,15,53
o80287,0,2,6,0,0,0,1,1,5,9
o80292,1,2,3,0,0,0,5,5,7,9
o80293,0,2,4,0,1,0,3,3,1,9
o80298,4,7,8,0,2,0,11,11,17,19
o80302,0,39,418,0,0,9,3,3,49,449
o80303,3,15,24,0,0,0,7,7,25,37
o80306,1,5,141,0,0,0,5,5,9,159
o80324,2,,351,0,,0,7,7,,387
o80326,3,,148,0,,0,17,17,,187
o80622,1,1,1,0,0,0,3,3,3,3
o80670,0,0,82,0,0,0,1,1,1,99
o80681,5,23,25,0,5,0,21,21,25,29
o80829,0,42,27,0,0,0,1,1,43,33
o80830,0,29,53,0,0,0,1,1,43,61
o80831,5,275,61,0,0,0,15,15,377,81
o81108,4,,44,0,,1,5,3,,55
o81117,0,101,44,0,0,0,1,1,145,45
o81119,1,6,101,0,0,0,5,5,9,113
o81125,1,,85,0,,0,5,5,,97
o81127,0,49,14,0,0,0,1,1,53,15
o81128,0,0,184,0,0,0,1,1,1,209
o81129,0,2,200,0,0,0,1,1,3,223
