schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors,correct_instance_ast_size,DG_ast_size,JE_ast_size,JSF_ast_size
o12603,1,4,22,0,1,0,5,5,7,27
o12604,1,3,1,0,2,0,7,7,7,7
o12605,2,5,2,0,1,0,7,7,9,7
o12607,0,18,8,0,0,0,1,1,19,9
o12608,0,14,15,0,0,0,1,1,15,19
o12610,0,159,24,0,0,0,1,1,191,25
o12611,0,16,10,0,0,0,1,1,17,11
o12613,1,1,1,0,0,0,3,3,3,3
o1262,4,,20,0,,0,11,11,,33
o12622,1128,,1204,0,,0,3607,3607,,3609
o12626,0,719,12,0,0,0,5,5,963,17
o12629,0,20,2,0,0,0,1,1,21,3
o12641,2,,,0,,,7,7,,
o12643,1,,,0,,,3,3,,
o12644,0,33,12,0,0,0,1,1,49,13
o12647,1,28,3,0,0,0,3,3,35,5
o12649,0,0,18,0,0,0,1,1,1,19
o12652,3,,512,0,,1,11,11,,549
o12653,3,,262,0,,2,9,9,,303
o12911,5,1903,2856,0,0,0,25,25,2531,3103
o12958,0,29,183,0,5,2,5,5,45,199
o12970,5,5,7,0,0,0,11,11,11,13
o12971,1,,1,0,,0,3,3,,3
o12972,4,,97,0,,2,11,11,,115
o12978,4,,28,0,,0,9,9,,43
o12985,0,18,67,0,0,0,1,1,19,71
o13,0,,25,0,,1,1,1,,27
o13017,0,2,6,0,0,0,1,1,3,7
o13020,1,201,670,0,4,29,5,5,303,783
o13024,0,305,,0,7,,3,3,417,
o13029,0,264,173,0,0,0,1,1,405,175
o13093,0,,15,0,1,0,3,3,1,19
o13095,2,,19,0,,0,13,13,,31
o13112,3,922,63,0,28,0,13,13,1203,95
o13122,3,,3,0,,0,7,7,,7
o13123,6,29,,1,1,,17,13,33,
o13129,4,8,37,2,6,1,9,5,7,45
o13131,6,9,104,3,6,5,13,7,7,115
o13134,0,53,172,0,1,0,1,1,77,173
o13136,0,0,11,0,0,0,1,1,1,13
o13138,0,34,96,0,1,0,1,1,49,97
o13139,,4,6,,3,0,3,,11,15
o13140,1,46,4,0,5,0,3,3,63,7
o13142,2,2,2,0,0,0,5,5,5,5
o13149,1,11,15,0,0,0,3,3,13,17
o13150,1,18,13,0,0,0,3,3,25,15
o13151,1,213,29,0,0,0,15,15,277,43
o1316,2,22,8,0,0,0,5,5,25,11
o1327,,55,13,3,1,0,7,1,87,19
o1329,0,8,21,0,0,0,1,1,9,23
o1332,1,1,,0,0,,3,3,3,
o1334,,136,8,,0,0,1,,223,9
o13349,0,185,34,0,0,0,3,3,235,39
o13400,14,142,508,0,0,0,47,47,209,565
o13401,2,62,51,0,9,0,7,7,103,65
o13402,1,1,162,0,0,1,3,3,3,185
o13403,3,3,477,0,0,3,7,7,7,785
o13404,2,,37,0,,1,7,7,,53
o13435,0,10,15,0,0,0,1,1,13,19
o13655,2,,75,0,,0,9,9,,97
o13656,1,39,3,0,1,0,5,5,41,7
o13663,1,1045,233,0,39,0,9,9,1199,251
o13664,0,,114,0,,0,1,1,,125
o13666,0,38,33,0,0,0,1,1,45,37
o13667,0,49,3,0,0,0,1,1,71,5
o13668,0,115,,0,0,,1,1,143,
o13671,1,16,3,0,0,0,7,7,23,7
o13672,0,18,6,0,0,0,1,1,19,7
o13683,0,43,45,0,0,0,1,1,47,51
o13687,2,20,2,0,0,0,5,5,23,5
o13688,2,23,2,0,0,0,5,5,27,5
o13692,3,12,67,0,5,2,9,9,17,75
o13694,2,,317,0,,0,5,5,,345
o13695,11,19,11,0,2,0,27,27,15,27
o13701,0,0,8,0,0,0,1,1,1,9
o13707,1,21,12,1,1,0,1,1,21,15
o13837,3,9,9,0,0,0,7,7,13,13
o13839,0,6,2,0,0,0,1,1,13,5
o13934,0,0,1023,0,0,0,1,1,1,1431
o13945,0,0,20,0,0,0,1,1,1,29
o13947,0,0,23,0,0,0,1,1,1,29
o13948,0,0,7,0,0,0,1,1,1,9
o13952,0,0,45,0,0,0,1,1,1,61
o13977,0,12,8,0,0,0,1,1,13,9
o13981,0,47,20,0,0,0,1,1,73,23
o13985,0,4,13,0,0,0,1,1,5,19
o13989,0,6,19,0,0,0,1,1,7,25
o14025,2,190,18,0,0,0,5,5,241,21
o14077,0,,56,0,,0,19,19,,87
o14078,0,,294,0,,12,1,1,,323
o14324,2,2,2,0,0,0,5,5,5,5
o14325,3,3,3,0,0,0,7,7,7,7
o14406,,36,,,0,,1,,41,
o14412,5,14,13,0,2,0,15,15,5,23
o14421,1,1,1,0,0,0,3,3,3,3
o14426,5,27,18,0,5,0,19,19,25,33
o14451,0,6,8,0,0,0,1,1,7,9
o14452,0,10,4,0,0,0,1,1,11,5
o14457,3,809,29,0,0,0,9,9,1081,35
o14458,0,,35,0,,0,1,1,,37
o14459,5,12,25,0,0,1,15,15,21,33
o14461,2,6,10,0,0,0,7,7,11,15
o14464,0,2,14,0,0,0,1,1,3,15
o14466,0,31,73,0,0,0,1,1,33,77
o14471,0,0,5,0,0,0,1,1,1,9
o14473,2,77,14,0,0,0,5,5,85,17
o14474,0,,126,0,,0,1,1,,131
o14475,5,11,15,0,0,0,11,11,17,21
o14478,0,,86,0,,4,1,1,,91
o14479,5,19,11,0,0,1,15,15,29,19
o14485,1,9,5,0,1,0,3,3,15,7
o14490,2,83,10,0,0,0,7,7,113,15
o14491,1,67,15,0,0,0,5,5,103,19
o14495,0,361,307,0,0,3,1,1,401,321
o14497,5,766,9,0,0,0,27,27,987,31
o14509,0,21,10,0,0,0,1,1,25,11
o14512,0,255,32,0,7,0,23,23,375,45
o14513,0,60,24,0,0,0,1,1,61,25
o14514,0,4,86,0,0,0,1,1,5,87
o14528,0,402,554,0,16,20,13,13,547,579
o14530,0,130,26,0,0,0,3,3,141,31
o14633,0,0,8,0,0,0,1,1,1,9
o14723,0,0,10,0,0,0,1,1,1,11
o14741,0,10,4,0,0,0,1,1,11,5
o14742,4,,22,0,,0,11,11,,31
o14743,2,27,3,0,0,0,9,9,41,11
o14744,8,150,8,0,0,0,25,25,219,25
o15101,2,49,2,0,0,0,5,5,83,5
o15102,1,,9,0,,0,5,5,,13
o15103,2,,123,0,,1,9,9,,133
o15105,3,,3,0,,0,9,9,,9
o15111,0,,7,0,,0,1,1,,9
o15123,0,,201,0,,0,9,9,,251
o15131,,2,14,,0,0,1,,3,15
o15172,0,0,201,0,0,2,1,1,1,233
o15178,0,0,294,0,0,0,1,1,1,347
o15197,0,3727,907,0,413,44,11,11,4835,1067
o15201,0,0,85,0,0,0,3,3,3,93
o15203,0,3,459,0,0,0,3,3,9,527
o15210,0,8,164,0,0,0,1,1,9,169
o15221,0,10,271,0,0,0,1,1,11,301
o15222,4,,319,0,,0,17,17,,355
o15286,,,526,,,0,13,,,567
o1529,2,18,32,0,7,0,7,7,23,37
o15291,4,86,61,0,12,0,13,13,105,73
o15292,6,,6,0,,0,19,19,,19
o15330,4,93,24,0,0,0,13,13,119,37
o15627,,12,472,,0,0,1,,13,485
o15726,2,5,2,0,0,0,5,5,11,5
o15735,1,107,17,0,0,0,3,3,143,19
o16041,2,161,6,0,0,1,9,9,177,13
o16044,1,1,1,0,0,0,5,5,5,5
o16046,2,14,83,0,0,0,9,9,21,95
o16047,0,91,60,0,0,1,3,3,117,63
o16067,2,,39,0,,0,7,7,,45
o16103,0,0,,0,0,,1,1,1,
o16363,0,,1,0,,0,3,3,,3
o16365,1,6,1,0,0,0,5,5,15,5
o16373,4,,,0,,,15,15,,
o16379,2,2,11,0,0,0,5,5,5,15
o16739,6,6,6,0,0,0,13,13,13,13
o16742,0,2,50,0,0,0,1,1,3,67
o16744,1,4,1,0,0,0,3,3,7,3
o16749,0,6,94,0,0,0,1,1,7,101
o16791,0,11,125,0,7,0,1,1,23,131
o17072,1,,23,0,,0,5,5,,33
o17121,12,258,42,0,0,2,27,27,323,55
o17122,0,2,38,0,0,0,1,1,3,39
o17123,0,2,1,0,0,0,1,1,5,3
o17125,0,127,4,0,0,0,1,1,199,9
o17127,1,5,212,0,1,14,3,3,7,267
o17131,0,0,4,0,0,0,1,1,1,5
o17132,0,0,14,0,0,0,1,1,1,15
o17133,0,0,109,0,0,0,1,1,1,125
o17139,3,,5,0,,0,7,7,,9
o17391,1,,171,0,,0,5,5,,207
o17393,0,10,22,0,0,0,1,1,11,25
o17394,13,28,21,0,2,0,33,33,9,41
o17401,5,7,5,0,0,0,11,11,13,11
o17404,2,26,15,0,0,0,13,13,61,39
o17408,5,,5,0,,0,13,13,,13
o17417,5,,18,0,,0,13,13,,25
o17424,2,4,2,0,0,0,5,5,7,5
o17436,2,27,29,1,1,0,5,5,35,63
o17437,2,2,2,0,0,0,5,5,5,5
o17438,2,2,2,0,0,0,5,5,5,5
o17460,1,,1,0,,0,3,3,,3
o17462,0,0,134,0,0,18,1,1,1,135
o17482,0,0,10,0,0,1,1,1,1,11
o17520,,982,93,,0,0,1,,1211,127
o17539,0,2122,73,0,0,0,3,3,2641,77
o17546,1,98,1,0,1,0,5,5,125,5
o17547,1,,7,0,,0,9,9,,19
o17565,6,,6,5,,0,5,9,,9
o17568,1,,2,0,,0,3,3,,5
o17591,0,90,220,0,0,0,5,5,123,233
o17599,1,16,3,0,1,0,7,7,19,9
o17600,0,30,20,0,0,0,13,13,73,53
o17602,14,16,16,0,2,0,33,33,33,33
o17608,0,9,2,0,1,0,3,3,11,5
o17611,3,6,3,0,2,0,9,9,7,9
o17614,0,13,2,0,1,0,3,3,19,5
o17616,3,191,2,0,1,0,7,7,263,7
o17628,0,16,5,0,0,0,5,5,25,15
o17631,,6,2,,2,0,9,,5,9
o17633,,65,1,,1,0,5,,77,5
o17635,3,405,3,0,3,0,13,13,531,13
o17637,1,,3,0,1,0,3,3,1,5
o17641,0,18,24,0,3,0,7,7,25,31
o17648,0,14,24,0,0,0,1,1,15,25
o17654,2,,2,0,,0,5,5,,5
o17657,1,,1,0,,0,1,1,,1
o17661,2,,2,0,1,0,5,5,1,5
o17663,1,12,50,0,1,2,7,7,13,57
o17665,3,14,3,0,1,0,9,9,17,9
o17668,0,10,12,0,2,0,5,5,13,17
o17674,2,4,3,0,0,0,5,5,9,7
o17675,1,9,1,0,0,0,3,3,19,3
o17676,2,,2,0,,0,5,5,,5
o17678,0,,8,0,1,0,1,1,1,15
o17687,4,14,12,0,1,0,15,15,33,25
o17688,6,64,10,0,0,0,21,21,109,27
o17692,0,246,0,0,1,0,5,5,351,5
o17700,5,,,0,,,15,15,,
o17940,7,,13,0,,0,17,17,,27
o17941,5,14,27,0,5,0,21,21,13,45
o17944,0,0,138,0,0,0,1,1,1,177
o17954,12,,312,0,,0,33,33,,357
o17984,0,0,10,0,0,0,1,1,1,11
o17985,0,2,4,0,0,0,1,1,3,5
o17990,0,0,121,0,0,0,1,1,1,127
o18021,0,2,,0,0,,1,1,3,
o18039,1,55,1,0,0,0,3,3,67,3
o18046,0,0,277,0,0,0,1,1,1,317
o18353,1,263,7,0,0,0,3,3,335,9
o18633,0,27,33,0,0,0,1,1,35,35
o18637,0,119,,0,0,,1,1,139,
o18644,1,4,65,0,1,1,5,5,9,81
o18670,5,12,13,0,0,0,17,17,29,29
o18948,0,,300,0,1,0,1,1,1,479
o18949,0,,76,0,,0,1,1,,111
o19003,4,4,4,0,0,0,9,9,9,9
o19022,4,,14,1,,0,9,5,,31
o19031,2,,4,0,,0,5,5,,7
o19057,2,58,1,1,1,0,3,5,75,3
o19062,4,,33,0,,0,15,15,,47
o19065,12,,34,0,,0,35,35,,57
o19066,2,177,2,0,0,0,5,5,221,5
o19067,3,,3,0,,0,11,11,,11
o19068,10,,41,0,,0,35,35,,65
o19069,0,,53,0,,0,5,5,,73
o19070,3,53,8,0,1,1,5,5,67,9
o19071,2,,32,0,,0,7,7,,41
o19087,0,0,4,0,0,0,1,1,1,5
o19103,3,22,23,0,0,0,9,9,41,31
o19113,2,,367,0,,0,13,13,,515
o19114,1,83,42,0,0,0,3,3,101,49
o19154,3,,68,0,,3,9,9,,87
o19155,0,0,18,0,0,0,1,1,1,21
o19185,5,23,16,0,0,0,15,15,49,33
o19225,0,0,245,0,0,0,1,1,1,269
o19226,0,63,48,0,0,1,5,5,95,69
o19336,0,16,82,0,0,1,1,1,17,83
o19337,6,8,12,0,0,1,17,13,17,15
o19338,0,60,138,0,0,0,1,1,67,139
o19339,0,14,38,0,0,0,1,1,15,39
o19340,0,4,42,0,0,0,1,1,5,43
o19342,0,37,240,0,0,0,1,1,49,241
o19343,1,,,0,,,3,3,,
o19353,0,7,351,0,2,0,3,3,13,421
o19356,0,62,19,0,0,0,1,1,93,27
o19357,2,7,5,0,0,0,7,7,15,13
o19359,2,,9,0,,0,5,5,,17
o19360,0,2067,240,0,0,0,1,1,2529,299
o19361,8,708,40,0,0,0,27,27,929,73
o19363,0,16,0,0,0,0,3,3,23,3
o19364,1,7,23,0,0,0,3,3,9,25
o19365,0,0,36,0,0,0,1,1,1,41
o19978,0,6,4,0,0,0,1,1,7,5
o19980,0,11,10,0,0,0,1,1,13,11
o20,0,,1062,0,,32,7,7,,1217
o20254,2,,6,0,,0,5,5,,9
o20258,1,1,175,0,0,0,5,5,5,215
o20271,0,18,6,0,0,0,3,3,21,9
o20272,3,58,168,0,1,0,7,7,67,221
o20375,8,37,7,0,8,0,17,17,57,17
o20376,1,10,1,0,1,0,3,3,19,3
o20389,0,2,10,0,0,0,1,1,3,11
o20390,0,0,122,0,0,0,1,1,1,153
o20452,0,,294,0,,0,9,9,,377
o20453,4,,1098,0,,0,9,9,,1301
o20458,0,0,0,0,0,0,1,1,1,1
o20460,0,0,8,0,0,0,1,1,1,9
o20461,0,0,4,0,0,0,1,1,1,5
o20462,0,0,4,0,0,0,1,1,1,5
o20463,0,2,70,0,0,1,3,3,5,85
o20464,2,2,12,0,0,0,5,5,5,19
o20465,4,56,10,0,0,0,11,11,91,17
o20468,0,0,4,0,0,0,1,1,1,5
o20469,0,0,0,0,0,0,1,1,1,1
o20471,0,0,6,0,0,0,1,1,1,7
o20473,2,,4,0,,0,5,5,,7
o20474,2,6,8,0,0,0,5,5,9,11
o20476,3,,4,0,,0,9,9,,13
o20477,1,13,33,0,0,0,3,3,25,49
o20479,3,,3,0,,0,9,9,,9
o20480,1,,1,0,,0,5,5,,5
o20484,0,3,10,0,0,0,3,3,5,15
o20486,1,,7,0,,0,5,5,,11
o20487,0,,4,0,,0,3,3,,7
o20488,3,,7,0,,0,9,9,,13
o20489,1,,2,0,,0,5,5,,5
o2050,0,,36,0,,0,5,5,,45
o20526,2,6,16,0,0,0,5,5,9,19
o20530,2,,2,0,,0,5,5,,5
o20531,2,,47,0,,0,5,5,,73
o2058,2,,4,0,,1,5,5,,5
o2060,,62,2,,0,0,1,,71,3
o2067,5,,14,0,,0,15,15,,27
o2068,0,24,18,0,0,0,1,1,25,19
o2069,3,3,3,0,0,0,7,7,7,7
o21,0,,864,0,,24,13,13,,1057
o21082,2,3,18,0,0,0,7,7,7,23
o21083,4,4,11,0,0,1,9,9,9,15
o21087,3,5,7,0,0,0,7,7,9,11
o21089,2,18,6,0,0,0,5,5,21,9
o2109,0,,71,0,,0,1,1,,77
o21091,4,10,10,0,0,0,9,9,15,15
o21093,3,3,12,0,0,1,7,7,7,15
o21095,4,11,36,0,0,1,13,13,19,43
o21096,3,3,17,0,0,0,7,7,7,21
o21097,2,2,24,0,0,0,5,5,5,27
o21099,2,2,10,0,0,0,5,5,5,13
o21100,2,22,5,0,0,1,5,5,35,7
o21103,0,0,20,0,0,0,1,1,1,27
o21108,9,15,14,3,0,0,17,11,29,39
o21112,7,,18,4,,0,19,13,,41
o21114,2,10,12,0,0,0,15,15,31,35
o21156,7,,,0,,,23,23,,
o21157,17,,611,0,,6,57,57,,695
o21159,4,,66,0,,1,23,23,,97
o21160,8,,1724,0,,91,25,25,,1857
o21161,18,,1418,0,,0,59,59,,1535
o21163,6,,99,0,,0,25,25,,137
o21164,7,,683,0,,1,25,25,,737
o21165,18,,1402,0,,0,59,59,,1519
o21167,6,,44,0,,0,25,25,,67
o21168,7,,,0,,,23,23,,
o21169,17,,1676,0,,4,57,57,,1809
o21171,5,,86,0,,0,23,23,,123
o21172,8,,1977,0,,1,27,27,,2121
o21173,19,,1811,0,,15,61,61,,1965
o21174,0,0,49,0,0,0,1,1,1,75
o21175,7,,79,0,,0,27,27,,117
o21176,7,,1818,0,,2,23,23,,1935
o21178,0,0,53,0,0,0,1,1,1,85
o21184,10,,1964,0,,3,27,27,,2099
o21185,21,,2010,0,,1,61,61,,2179
o21186,0,0,77,0,0,0,1,1,1,123
o21187,8,,98,0,,2,27,27,,145
o21188,8,,1568,0,,5,27,27,,1667
o21189,18,,1725,0,,6,61,61,,1875
o21191,7,,72,0,,2,27,27,,99
o21192,8,,1394,0,,1,27,27,,1489
o21193,20,,379,0,,0,61,61,,445
o21194,0,0,2,0,0,0,1,1,1,3
o21195,6,,114,0,,0,27,27,,157
o21196,9,,512,0,,3,29,29,,563
o21197,20,,1418,0,,280,63,63,,1607
o21199,8,,53,0,,0,29,29,,93
o21200,16,,841,0,,0,53,53,,925
o21202,3,,55,0,,0,15,15,,75
o21203,10,,1854,0,,317,31,31,,2049
o21205,0,0,10,0,0,0,1,1,1,13
o21207,9,,820,0,,1,27,27,,889
o21209,0,0,9,0,0,0,1,1,1,11
o21211,7,,1683,0,,6,27,27,,1787
o21215,7,,879,0,,0,29,29,,945
o21216,17,,1418,0,,0,63,63,,1539
o21217,0,0,82,0,0,0,1,1,1,129
o21218,5,,110,0,,2,29,29,,169
o21219,9,,1554,0,,1,27,27,,1689
o21220,19,,1448,0,,0,61,61,,1585
o21221,0,0,2,0,0,0,1,1,1,3
o21222,7,,328,0,,2,27,27,,393
o21223,8,,1316,0,,2,25,25,,1431
o21224,18,,1962,0,,0,59,59,,2107
o21225,0,0,2,0,0,0,1,1,1,3
o21226,6,,107,0,,0,25,25,,151
o21227,8,,1511,0,,4,23,23,,1605
o21228,20,,640,0,,10,57,57,,717
o21230,5,,75,0,,2,23,23,,107
o21231,8,,1030,0,,8,23,23,,1103
o21232,18,,631,0,,2,57,57,,715
o21234,5,,26,0,,0,23,23,,49
o21235,5,,919,0,,211,23,23,,1021
o21239,7,,430,0,,7,23,23,,477
o21240,17,,644,0,,2,57,57,,721
o21242,4,,85,0,,0,23,23,,125
o21243,7,,822,0,,2,23,23,,883
o21244,17,,1462,0,,3,57,57,,1581
o21246,4,,183,0,,1,23,23,,235
o21247,7,,1942,0,,0,23,23,,2061
o21248,17,,1339,0,,0,57,57,,1453
o21250,5,,94,0,,2,23,23,,127
o21251,8,,196,0,,0,25,25,,225
o21252,18,,1017,0,,9,59,59,,1117
o21254,6,,67,0,,0,25,25,,97
o21255,7,,525,0,,4,25,25,,597
o21256,17,,915,0,,17,59,59,,1013
o21258,5,,185,0,,10,25,25,,241
o21259,7,,1438,0,,5,29,29,,1535
o21260,20,,1074,0,,22,63,63,,1187
o21262,6,,79,0,,2,29,29,,115
o21263,7,,564,0,,5,23,23,,609
o21264,19,,641,0,,2,57,57,,721
o21266,4,,51,0,,0,23,23,,75
o21267,10,,1749,0,,13,29,29,,1859
o21268,21,,602,0,,0,63,63,,679
o21270,7,,85,0,,2,29,29,,117
o21271,7,,592,0,,1,23,23,,643
o21272,18,,823,0,,103,57,57,,931
o21274,4,,43,0,,0,23,23,,69
o21275,8,,986,0,,9,25,25,,1063
o21276,19,,383,0,,1,59,59,,449
o21278,5,,47,0,,0,25,25,,73
o21279,8,,1058,0,,5,27,27,,1139
o21280,18,,1160,0,,135,61,61,,1291
o21282,6,,47,0,,0,27,27,,85
o21283,7,,1563,0,,4,23,23,,1679
o21284,18,,423,0,,99,57,57,,499
o21285,0,0,100,0,0,0,1,1,1,159
o21286,5,,117,0,,4,23,23,,165
o21287,7,,1228,0,,0,25,25,,1313
o21288,18,,1795,0,,5,59,59,,1927
o21289,0,0,48,0,0,0,1,1,1,77
o21290,5,,161,0,,7,25,25,,207
o21291,7,,1279,0,,0,31,31,,1373
o21292,18,,902,0,,174,65,65,,1033
o21294,5,,201,0,,1,31,31,,245
o21299,10,,403,0,,24,29,29,,453
o21300,22,,1667,0,,0,63,63,,1801
o21302,8,,79,0,,0,29,29,,119
o21303,8,,2223,0,,0,25,25,,2371
o21304,19,,1096,0,,1,59,59,,1189
o21305,0,0,99,0,0,0,1,1,1,149
o21306,7,,82,0,,0,25,25,,131
o21307,7,,2776,0,,5,23,23,,2957
o21308,18,,1237,0,,112,57,57,,1391
o21310,5,,344,0,,1,23,23,,407
o21311,7,,,0,,,23,23,,
o21312,17,,3415,0,,10,57,57,,3797
o21314,5,,793,0,,0,23,23,,913
o21315,7,,960,0,,1,23,23,,1023
o21316,17,,1327,0,,4,57,57,,1437
o21318,5,,55,0,,0,23,23,,83
o21319,7,,810,0,,5,23,23,,873
o21320,16,,1010,0,,6,57,57,,1105
o21322,4,,75,0,,2,23,23,,103
o21323,9,,1555,0,,1,23,23,,1651
o21324,19,,,0,,,57,57,,
o21326,5,,105,0,,0,23,23,,151
o21327,8,,1271,0,,255,29,29,,1405
o21328,20,,1844,0,,5,63,63,,1995
o21329,0,0,19,0,0,0,1,1,1,25
o21330,7,,181,0,,0,29,29,,231
o21331,4,,158,0,,2,23,23,,183
o21332,5,,323,0,,0,15,15,,353
o21334,3,,46,0,,0,19,19,,71
o21335,8,,993,0,,4,23,23,,1065
o21339,7,,936,0,,7,23,23,,997
o21343,7,,1747,0,,3,25,25,,1853
o21344,19,,313,0,,0,59,59,,379
o21345,0,0,78,0,0,0,1,1,1,123
o21346,5,,66,0,,0,25,25,,95
o21351,7,,1383,0,,6,23,23,,1473
o21352,16,,,0,,,57,57,,
o21354,5,,67,0,,1,23,23,,95
o21355,7,,1382,0,,0,23,23,,1477
o21356,17,,1000,0,,3,57,57,,1093
o21358,4,,163,0,,0,23,23,,213
o21359,7,,,0,,,23,23,,
o21360,17,,,0,,,57,57,,
o21361,0,0,2,0,0,0,1,1,1,3
o21362,4,,79,0,,0,23,23,,107
o21363,8,,1621,0,,0,31,31,,1729
o21364,19,,1466,0,,15,65,65,,1599
o21366,7,,139,0,,0,31,31,,185
o21367,7,,1391,0,,3,25,25,,1483
o21368,20,,1759,0,,0,59,59,,1893
o21370,6,,63,0,,0,25,25,,91
o21371,8,,1163,0,,150,23,23,,1263
o21372,20,,1789,0,,1,57,57,,1921
o21374,3,,73,0,,0,17,17,,103
o21375,9,,1498,0,,247,27,27,,1659
o21376,19,,1007,0,,1,61,61,,1109
o21378,6,,,0,,,27,27,,
o21379,11,,1392,0,,5,29,29,,1503
o21380,22,,1275,0,,3,63,63,,1391
o21381,0,0,24,0,0,0,1,1,1,35
o21382,8,,64,0,,2,29,29,,95
o21383,9,,,0,,,27,27,,
o21384,18,,1440,0,,0,61,61,,1563
o21386,7,,87,0,,2,27,27,,127
o21387,10,,769,0,,82,29,29,,847
o21388,20,,1501,0,,2,63,63,,1623
o21389,0,0,31,0,0,0,1,1,1,47
o21390,8,,74,0,,1,29,29,,109
o21391,9,,1010,0,,114,31,31,,1135
o21392,17,,736,0,,4,65,65,,851
o21393,0,0,6,0,0,0,1,1,1,7
o21394,6,,95,0,,4,31,31,,141
o21395,9,,520,0,,3,29,29,,569
o21396,21,,597,0,,121,63,63,,691
o21398,7,,64,0,,0,29,29,,99
o21399,7,,1414,0,,2,23,23,,1501
o2140,1,20,1,0,0,1,3,3,25,3
o21400,17,,1940,0,,0,57,57,,2081
o21402,4,,46,0,,0,23,23,,77
o21403,7,,1385,0,,1,23,23,,1507
o21404,16,,,0,,,57,57,,
o21405,0,0,86,0,0,0,1,1,1,133
o21406,5,,85,0,,0,23,23,,117
o21407,9,,1442,0,,221,27,27,,1579
o21408,21,,1712,0,,0,61,61,,1843
o2141,1,714,8,0,0,0,3,3,937,13
o21410,7,,79,0,,1,27,27,,121
o21411,7,,1200,0,,0,23,23,,1285
o21412,18,,579,0,,3,57,57,,653
o21414,5,,134,0,,0,23,23,,179
o21415,13,,524,0,,4,43,43,,587
o21416,24,,1572,0,,0,77,77,,1731
o21418,11,,115,0,,2,43,43,,173
o21419,8,,1138,0,,4,25,25,,1217
o2142,0,15,0,0,1,0,3,3,17,3
o21420,16,,1503,0,,2,59,59,,1623
o21421,0,0,56,0,0,0,1,1,1,87
o21422,6,,75,0,,0,25,25,,113
o21423,7,,1838,0,,0,25,25,,1949
o21424,20,,924,0,,0,59,59,,1013
o21426,6,,34,0,,1,25,25,,63
o21427,5,,624,0,,1,15,15,,669
o21428,7,,1489,0,,5,23,23,,1587
o21429,17,,312,0,,0,57,57,,369
o21431,4,,71,0,,0,23,23,,97
o21432,7,,1570,0,,6,23,23,,1669
o21434,0,0,45,0,0,0,1,1,1,71
o21436,9,,1451,0,,5,27,27,,1543
o21437,19,,1204,0,,2,61,61,,1307
o21439,7,,184,0,,1,27,27,,233
o21442,7,,562,0,,1,21,21,,597
o21464,5,,5,0,,0,11,11,,11
o21466,5,,7,0,,0,11,11,,13
o21468,6,,15,0,,0,13,13,,23
o21469,8,,8,0,,0,17,17,,17
o21470,7,,7,0,,0,15,15,,15
o21471,5,,6,0,,0,13,13,,13
o21472,3,,3,0,,0,7,7,,7
o21474,0,0,26,0,0,0,1,1,1,47
o21475,1,20,16,0,0,0,3,3,39,29
o21477,1,3,5,0,0,0,3,3,5,7
o21479,1,12,6,0,1,0,3,3,23,9
o21480,0,0,6,0,0,0,1,1,1,9
o21481,0,7,16,0,0,0,3,3,15,23
o21486,0,0,12,0,0,0,1,1,1,13
o21487,1,25,13,0,0,0,3,3,27,15
o21490,0,0,6,0,0,0,1,1,1,7
o21492,0,0,36,0,0,0,1,1,1,39
o21494,4,,4,0,,0,9,9,,9
o21499,2,2,4,0,0,0,5,5,5,7
o21500,3,,3,0,,0,7,7,,7
o21699,0,60,115,0,0,0,1,1,77,121
o21725,0,0,14,0,0,0,1,1,1,15
o21726,1,,16,0,,0,11,11,,27
o21729,0,2,12,0,1,0,1,1,3,13
o21731,1,,1,0,,0,1,1,,1
o21733,1,10,6,0,0,0,11,11,27,19
o21735,1,,17,0,,0,11,11,,29
o21764,5,,119,0,1,1,5,7,1,133
o21768,1,3,1,0,0,0,3,3,5,3
o21771,4,,23,0,,0,13,13,,33
o21779,1,44,25,0,2,0,7,7,63,37
o21780,1,41,141,0,8,8,11,11,81,167
o21819,,16,183,,2,1,5,,19,197
o21820,2,24,42,0,0,0,5,5,27,47
o21828,1,,1,0,,0,1,1,,1
o21840,2,59,332,0,0,0,5,5,81,355
o21846,1,4,58,0,3,0,5,5,11,83
o21847,1,22,7,0,0,0,7,7,37,17
o21848,2,,8,0,,0,5,5,,11
o21849,4,,14,0,,0,9,9,,25
o21850,4,,14,0,,0,9,9,,19
o21851,4,,13,0,,0,9,9,,19
o21852,4,,4,0,,0,9,9,,9
o21855,3,3,3,0,2,0,7,7,7,7
o21858,2,3,17,0,3,0,7,7,7,27
o21861,2,,1,0,,0,5,5,,5
o21862,1,1,1,0,1,0,3,3,3,3
o21864,2,10,3,0,0,0,5,3,13,5
o21865,0,55,4,0,0,0,1,1,69,5
o21868,1,25,7,0,0,0,7,7,39,15
o21869,0,5,19,0,0,0,3,3,9,27
o21909,0,109,34,0,0,0,1,1,127,35
o22,0,,389,0,,13,7,7,,473
o22094,1,,,0,,,3,3,,
o22194,0,,7,0,,0,1,1,,9
o22199,0,,13,0,,2,3,3,,17
o2231,3,3,30,1,1,0,3,1,5,37
o22449,1,841,102,0,7,0,5,5,1149,121
o22453,2,6,2,0,0,0,7,7,11,7
o2249,1,11,11,0,0,0,3,3,13,13
o2256,3,,3,0,,0,9,9,,9
o23,0,14,70,0,1,0,13,13,7,97
