schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors
o19087,0,0,4,0,0,0
o19103,3,22,23,0,0,0
o19113,2,,367,0,,0
o19114,1,83,42,0,0,0
o19154,3,,68,0,,3
o19155,0,0,18,0,0,0
o19185,5,23,16,0,0,0
o19225,0,0,245,0,0,0
o19226,0,63,48,0,0,1
o19336,0,16,82,0,0,1
o19337,6,8,12,0,0,1
o19338,0,60,138,0,0,0
o19339,0,14,38,0,0,0
o19340,0,4,42,0,0,0
o19342,0,37,240,0,0,0
o19343,1,,,0,,
o19353,0,7,351,0,2,0
o19356,0,62,19,0,0,0
o19357,2,7,5,0,0,0
o19359,2,,9,0,,0
o19360,0,2067,240,0,0,0
o19361,8,708,40,0,0,0
o19363,0,16,0,0,0,0
o19364,1,7,23,0,0,0
o19365,0,0,36,0,0,0
o19978,0,6,4,0,0,0
o19980,0,11,10,0,0,0
o20,0,,1062,0,,32
o20254,2,,6,0,,0
o20258,1,1,175,0,0,0
o20271,0,18,6,0,0,0
o20272,3,58,168,0,1,0
o20375,8,37,7,0,8,0
o20376,1,10,1,0,1,0
o20389,0,2,10,0,0,0
o20390,0,0,122,0,0,0
o20452,0,,294,0,,0
o20453,4,,1098,0,,0
o20458,0,0,0,0,0,0
o20460,0,0,8,0,0,0
o20461,0,0,4,0,0,0
o20462,0,0,4,0,0,0
o20463,0,2,70,0,0,1
o20464,2,2,12,0,0,0
o20465,4,56,10,0,0,0
o20468,0,0,4,0,0,0
o20469,0,0,0,0,0,0
o20471,0,0,6,0,0,0
o20473,2,,4,0,,0
o20474,2,6,8,0,0,0
o20476,3,,4,0,,0
o20477,1,13,33,0,0,0
o20479,3,,3,0,,0
o20480,1,,1,0,,0
o20484,0,3,10,0,0,0
o20486,1,,7,0,,0
o20487,0,,4,0,,0
o20488,3,,7,0,,0
o20489,1,,2,0,,0
o2050,0,,36,0,,0
o20526,2,6,16,0,0,0
o20530,2,,2,0,,0
o20531,2,,47,0,,0
o2058,2,,4,0,,1
o2060,,62,2,,0,0
o2067,5,,14,0,,0
o2068,0,24,18,0,0,0
o2069,3,3,3,0,0,0
o21,0,,864,0,,24
o21082,2,3,18,0,0,0
o21083,4,4,11,0,0,1
o21087,3,5,7,0,0,0
o21089,2,18,6,0,0,0
o2109,0,,71,0,,0
o21091,4,10,10,0,0,0
o21093,3,3,12,0,0,1
o21095,4,11,36,0,0,1
o21096,3,3,17,0,0,0
o21097,2,2,24,0,0,0
o21099,2,2,10,0,0,0
o21100,2,22,5,0,0,1
o21103,0,0,20,0,0,0
o21108,9,15,14,3,0,0
o21112,7,,18,4,,0
o21114,2,10,12,0,0,0
o21156,7,,,0,,
o21157,17,,611,0,,6
o21159,4,,66,0,,1
o21160,8,,1724,0,,91
o21161,18,,1418,0,,0
o21163,6,,99,0,,0
o21164,7,,683,0,,1
o21165,18,,1402,0,,0
o21167,6,,44,0,,0
o21168,7,,,0,,
o21169,17,,1676,0,,4
o21171,5,,86,0,,0
o21172,8,,1977,0,,1
o21173,19,,1811,0,,15
o21174,0,0,49,0,0,0
o21175,7,,79,0,,0
o21176,7,,1818,0,,2
o21178,0,0,53,0,0,0
o21184,10,,1964,0,,3
o21185,21,,2010,0,,1
o21186,0,0,77,0,0,0
o21187,8,,98,0,,2
o21188,8,,1568,0,,5
o21189,18,,1725,0,,6
o21191,7,,72,0,,2
o21192,8,,1394,0,,1
o21193,20,,379,0,,0
o21194,0,0,2,0,0,0
o21195,6,,114,0,,0
o21196,9,,512,0,,3
o21197,20,,1418,0,,280
o21199,8,,53,0,,0
o21200,16,,841,0,,0
o21202,3,,55,0,,0
o21203,10,,1854,0,,317
o21205,0,0,10,0,0,0
o21207,9,,820,0,,1
o21209,0,0,9,0,0,0
o21211,7,,1683,0,,6
o21215,7,,879,0,,0
o21216,17,,1418,0,,0
o21217,0,0,82,0,0,0
o21218,5,,110,0,,2
o21219,9,,1554,0,,1
o21220,19,,1448,0,,0
o21221,0,0,2,0,0,0
o21222,7,,328,0,,2
o21223,8,,1316,0,,2
o21224,18,,1962,0,,0
o21225,0,0,2,0,0,0
o21226,6,,107,0,,0
o21227,8,,1511,0,,4
o21228,20,,640,0,,10
o21230,5,,75,0,,2
o21231,8,,1030,0,,8
o21232,18,,631,0,,2
o21234,5,,26,0,,0
o21235,5,,919,0,,211
o21239,7,,430,0,,7
o21240,17,,644,0,,2
o21242,4,,85,0,,0
o21243,7,,822,0,,2
o21244,17,,1462,0,,3
o21246,4,,183,0,,1
o21247,7,,1942,0,,0
o21248,17,,1339,0,,0
o21250,5,,94,0,,2
o21251,8,,196,0,,0
o21252,18,,1017,0,,9
o21254,6,,67,0,,0
o21255,7,,525,0,,4
o21256,17,,915,0,,17
o21258,5,,185,0,,10
o21259,7,,1438,0,,5
o21260,20,,1074,0,,22
o21262,6,,79,0,,2
o21263,7,,564,0,,5
o21264,19,,641,0,,2
o21266,4,,51,0,,0
o21267,10,,1749,0,,13
o21268,21,,602,0,,0
o21270,7,,85,0,,2
o21271,7,,592,0,,1
o21272,18,,823,0,,103
o21274,4,,43,0,,0
o21275,8,,986,0,,9
o21276,19,,383,0,,1
o21278,5,,47,0,,0
o21279,8,,1058,0,,5
o21280,18,,1160,0,,135
o21282,6,,47,0,,0
o21283,7,,1563,0,,4
o21284,18,,423,0,,99
o21285,0,0,100,0,0,0
o21286,5,,117,0,,4
o21287,7,,1228,0,,0
o21288,18,,1795,0,,5
o21289,0,0,48,0,0,0
o21290,5,,161,0,,7
o21291,7,,1279,0,,0
o21292,18,,902,0,,174
o21294,5,,201,0,,1
o21299,10,,403,0,,24
o21300,22,,1667,0,,0
o21302,8,,79,0,,0
o21303,8,,2223,0,,0
o21304,19,,1096,0,,1
o21305,0,0,99,0,0,0
o21306,7,,82,0,,0
o21307,7,,2776,0,,5
o21308,18,,1237,0,,112
o21310,5,,344,0,,1
o21311,7,,,0,,
o21312,17,,3415,0,,10
o21314,5,,793,0,,0
o21315,7,,960,0,,1
o21316,17,,1327,0,,4
o21318,5,,55,0,,0
o21319,7,,810,0,,5
o21320,16,,1010,0,,6
o21322,4,,75,0,,2
o21323,9,,1555,0,,1
o21324,19,,,0,,
o21326,5,,105,0,,0
o21327,8,,1271,0,,255
o21328,20,,1844,0,,5
o21329,0,0,19,0,0,0
o21330,7,,181,0,,0
o21331,4,,158,0,,2
o21332,5,,323,0,,0
o21334,3,,46,0,,0
o21335,8,,993,0,,4
o21339,7,,936,0,,7
o21343,7,,1747,0,,3
o21344,19,,313,0,,0
o21345,0,0,78,0,0,0
o21346,5,,66,0,,0
o21351,7,,1383,0,,6
o21352,16,,,0,,
o21354,5,,67,0,,1
o21355,7,,1382,0,,0
